ID_C_AUC,N_1a11d
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,3
19,0
20,0
21,0
22,5
23,8
24,2
25,6
26,8
27,0
28,0
29,1
30,4
31,6
32,0
33,0
34,0
35,0
36,1
37,1
38,4
39,0
40,0
41,0
42,0
43,0
44,4
45,9
46,13
47,0
48,0
49,1
50,2
51,9
52,20
53,9
54,2
55,0
56,0
57,3
58,7
59,7
60,5
61,2
62,0
63,0
64,0
65,0
66,0
67,4
68,11
69,3
70,5
71,1
72,0
73,0
74,2
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,1
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,1
168,0
169,0
170,3
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,4
214,17
215,15
216,0
217,0
218,26
219,24
220,28
221,0
222,5
223,34
224,24
225,0
226,1
227,18
228,33
229,19
230,0
231,2
232,26
233,11
234,0
235,0
236,6
237,0
238,0
239,0
240,0
241,8
242,26
243,1
244,11
245,6
246,2
247,1
248,6
249,0
250,3
251,16
252,12
253,7
254,0
255,1
256,0
257,0
258,0
259,3
260,0
261,0
262,13
263,11
264,20
265,3
266,0
267,0
268,0
269,0
270,0
271,0
272,12
273,13
274,16
275,15
276,11
277,0
